Project Name,Firm,Keywords,Country,address,Link,ID,lon,lat
Hajimari Art Center,studio-L,"Citizen Participation, Empowerment, Art Brut, Social Welfare",Japan,"4873 Aramachi, Inawashiro, Yama District, Fukushima 969-3122, Japan",https://hajimari-ac.com/,1,140.1078445,37.5641134
Naidi Community Hall,CAUKIN Studio,"Democratic education, Quality Design, Accessibility for All, Community Focused, Sustainable Innovation",Fiji,"Vanua Levu, Naidi, Fiji",https://www.caukinstudio.com/community-hall-naidi,2,179.3618146,-16.8006309
Kings Crescent Estate,Muf Architecture + Art,"Citizen Participation, Empowerment",United Kingdom,"Queens Drive, London, N4 2XD",http://muf.co.uk/portfolio/kings-crescent-2018/,3,-0.0928437,51.5611976
Hack Our Play - St. James Church Kindergarten,Participate in Design (P!D),Citizen Participation,Singapore,"25 Gilstead Rd, Singapore 309070",https://www.hackourplay.com/,4,103.8388212,1.3167354
Cultural Block Östersund,Kjellander Sjöberg,Participatory Design in Cultural Centre,Sweden,"Gustav III:s torg, 831 34 Östersund, Sweden",https://kjellandersjoberg.se/en/projects/project/cultural-block-ostersund/,5,14.639316,63.1757722
Leping Social Entrepreneur Foundation Headquarter,People's Architecture Office,"People, Social wellbeing Collaboration, Integration",China,"2nd Floor of North Building, No.7 Banqiao Nan Xiang, Dongcheng District, Beijing",http://www.peoples-architecture.com/pao/en/project-detail/26,6,116.417661,39.9386949
Book Stop Project,WTA Architecture and Design,"Citizen Participation, Empowerment",Philippines,"224 Ortigas Avenue, Greenhills, 1102 San Juan del Monte",https://www.wtadesignstudio.com/the-book-stop-project/,7,121.045855,14.602861
"Nepal 
Rebuilt House",Atelier-3,"post-disaster 
reconstruction",Nepal,"Katunje, Dhading Besi",https://www.atelier3-ras.com/brife-of-works,8,84.8919664,27.9110176
Ruhehe Primary School,MASS Design Group,"Citizen Participation, Collaboration",Rwanda,"Musanze, Rwanda",https://massdesigngroup.org/work/design/ruhehe-primary-school,9,29.5571677,-1.4918885
Project House,One Bite Studio,"Citizen Participation, Collaboration, Community Engagement",Hong Kong,Hong Kong,https://www.onebitedesign.com/project-house,10,114.1693611,22.3193039
"Brown Sugar
Factory","DnA Design and
Architecture","Local context
Participation
Community
Rural revitalization
",China,"Zhangxixiang, 
Songyang, 
Lishui, 
Zhejiang, China.","http://www.d
esignandarc
hitecture.net
/project/1526
017753",11,119.401878,28.495075
Granby Winter Garden,ASSEMBLE,"Citizen Participation, Collaboration, Community Engagement, Revitalization",United Kingdom,"39 Cairns St, Liverpool L8 2UW, UK",https://assemblestudio.co.uk/projects/granby-winter-gardens,12,-2.9558926,53.3924013
Bima Microlibrary,SHAU,"Social, Sustainability, Citizen Participation, Engagement, Education",Indonesia,"Jl. Bima No.103, Arjuna, Kec. Cicendo",https://www.miclib.com/microlibrarybima,13,107.591709,-6.909758
WMS Boathouse,Studio Gang,"Community Engagement, Revitalization",USA,"3400 N Rockwell St, Chicago, IL 60618, United States",https://studiogang.com/project/wms-boathouse-at-clark-park,14,-87.6946043,41.9433816
St Josephs' Nursing Home,SAA Architects,"Community, Elderly, Accessibility,",Singapore,"36 Jurong West Street 24, Singapore 648141",http://saaarchitects.com.sg/project/catholic-welfare-services-singapore-st-josephs-home/,15,103.7076413,1.3505428
Angdong Healthcare Center,Rural Urabn Framework,"local context, community, healthcare, material, rural revitalization",China,"XIANGXI, CHINA",http://www.rufwork.org/index.php?/project/angdong-health-centre-10/,16,109.738781,28.312001
Kampung Kampus,Ground Up Initiative,"Comunity Engagement, Urban Sustainability, Collaboration",Singapore,91 Lorong Chencharu (Yishun) Singapore 769201,https://groundupinitiative.org,17,103.8279127,1.4142648
METI Handmade School,Studio Anna Heringer,"Constuction Education, Project Realisation by Local Community, Local Materials, Sustainability, Collective Ownership",Bangladesh,"Dinajpur - Birol Rd, বিরল, Bangladesh",http://www.anna-heringer.com/projects/meti-school-bangladesh/,18,88.583867,25.6346367
